,Variable #,Question #,Variable Name,Source Variables,Description,Type,Location,Length
118,57,Recode,HDNCKAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had head or neck cancer,Num,161 - 162,2
119,58,Recode,COLRCCAN_A,"CANKIND1_A-CANKIND3_A",Colorectal cancer mentioned,Num,163,1
120,59,Recode,COLRCAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had colon or rectal cancer,Num,164 - 165,2
121,60,Recode,OTHERCANP_A,"CANKIND1_A-CANKIND3_A",Other cancer mentioned,Num,166,1
122,61,Recode,OTHERAGETC_A,"CANKIND1_A-CANKIND3_A andCANAGE1_A-CANAGE3_A",Age when first told had other cancer,Num,167 - 168,2
123,62,Recode,NUMCAN_A,"CANEV_A andCANKIND1_A-CANKIND3_A",Number of reported types of cancers,Num,169,1
125,1,DIB.0010.00.1,PREDIB_A,,Ever had prediabetes,Num,170,1
126,2,DIB.0020.00.1,GESDIB_A,,Gestational diabetes,Num,171,1
127,3,DIB.0030.00.1,DIBEV_A,,Ever had diabetes,Num,172,1
128,4,Recode,DIBAGETC_A,DIBAGE_A,Age first diagnosed w/diabetes,Num,173 - 174,2
129,5,Recode,DIFYRSTC1_A,DIBAGE_A; AGE_FINAL,Years since first diagnosed w/diabetes,Num,175 - 176,2
130,6,DIB.0050.00.1,DIBPILL_A,,Taking diabetic pills,Num,177,1
131,7,DIB.0060.00.1,DIBINS_A,,Taking insulin,Num,178,1
132,8,DIB.0070.00.3,DIBINSTIME_A,,Time from diabetes to insulin,Num,179,1
133,9,DIB.0080.00.3,DIBINSSTOP_A,,Ever stop using insulin,Num,180,1
134,10,DIB.0090.00.3,DIBINSSTYR_A,,Only stop insulin in first year,Num,181,1
135,11,DIB.0130.00.1,DIBTYPE_A,,Diabetes type,Num,182,1
137,1,CON.0010.00.1,COPDEV_A,,"Ever been told you had COPD, emphysema, or chronicbronchitis?",Num,183,1
138,2,CON.0020.00.1,ARTHEV_A,,Ever had arthritis,Num,184,1
139,3,CON.0030.00.1,DEMENEV_A,,Ever had dementia,Num,185,1
140,4,CON.0040.00.1,ANXEV_A,,Ever had anxiety disorder,Num,186,1
141,5,CON.0050.00.1,DEPEV_A,,Ever had depression,Num,187,1
143,1,CFS.0010.00.3,CFSEV_A,,Ever had Chronic Fatigue Syndrome,Num,188,1
144,2,CFS.0020.00.3,CFSNOW_A,,Still have Chronic Fatigue Syndrome,Num,189,1
146,1,ISN.0010.00.3,MEDRXTRT_A,,Weakened immune system due to prescriptions,Num,190,1
147,2,ISN.0020.00.3,HLTHCOND_A,,Weakened immune system due to health condition,Num,191,1
149,1,EPI.0010.00.3,EPIEV_A,,Ever had epilepsy,Num,192,1
150,2,EPI.0020.00.3,EPIMED_A,,Take medication for epilepsy,Num,193,1
151,3,Recode,EPINUMSEZP_A,EPINUMSEIZ_A,How many seizures past 12 months,Num,194,1
152,4,EPI.0040.00.3,EPIDR_A,,See a doctor for epilepsy,Num,195,1
154,1,BMI.0010.00.1,PREGNOW_A,,Pregnant now,Num,196,1
155,2,Recode,HEIGHTTC_A,HEIGHT_A,"Height without shoes (inches), Public Use",Num,197 - 198,2
156,3,Recode,WEIGHTLBTC_A,WEIGHTLB_A; WTLB_A,"Weight without shoes (pounds), Public Use",Num,199 - 201,3
157,4,Recode,BMICAT_A,BMI_A; BMI_A_1,"Categorical Body Mass Index, Public Use",Num,202,1
159,1,VIS.0020.00.1,WEARGLSS_A,,Wear glasses/contact lenses,Num,203,1
160,2,VIS.0030.00.1,VISIONDF_A,,Difficulty seeing,Num,204,1
162,1,HEA.0010.00.1,HEARAID_A,,Use hearing aid,Num,205,1
163,2,HEA.0020.00.1,HEARAIDFR_A,,How often use hearing aid,Num,206,1
164,3,HEA.0030.00.1,HEARINGDF_A,,Difficulty hearing,Num,207,1
166,1,MOB.0010.00.1,DIFF_A,,Difficulty walking/steps,Num,208,1
167,2,MOB.0020.00.1,EQUIP_A,,Use equipment to get around,Num,209,1
168,3,MOB.0030.00.1,WLK100_A,,Difficulty walking 100 yards,Num,210,1
169,4,MOB.0040.00.1,WLK13M_A,,Difficulty walking 1/3 mile,Num,211,1
170,5,MOB.0050.00.1,STEPS_A,,Difficulty walking steps,Num,212,1
171,6,MOB.0060.00.1,CANEWLKR_A,,Use cane or walker,Num,213,1
172,7,MOB.0070.00.1,WCHAIR_A,,Use wheelchair/scooter,Num,214,1
173,8,MOB.0080.00.1,PERASST_A,,Use someone's assistance,Num,215,1
174,9,MOB.0090.00.1,NOEQWLK100_A,,Difficulty walking 100 yards without aid,Num,216,1
175,10,MOB.0100.00.1,NOEQWLK13M_A,,Difficulty walking 1/3 mile without aid,Num,217,1
176,11,MOB.0110.00.1,NOEQSTEPS_A,,Difficulty walking steps without equipment,Num,218,1
177,12,MOB.0120.00.1,EQWLK100_A,,Difficulty walking 100 yards with aid,Num,219,1
178,13,MOB.0130.00.1,EQWLK13M_A,,Difficulty walking 1/3 mile with aid,Num,220,1
179,14,MOB.0140.00.1,EQSTEPS_A,,Difficulty walking steps with equipment,Num,221,1
181,1,COM.0010.00.1,COMDIFF_A,,Difficulty communicating,Num,222,1
183,1,COG.0010.00.1,COGMEMDFF_A,,Difficulty remembering/concentrating,Num,223,1
184,2,COG.0020.00.1,COGTYPEDFF_A,,Remembering/concentrating or both,Num,224,1
185,3,COG.0030.00.1,COGFRQDFF_A,,Difficulty remembering-how often,Num,225,1
186,4,COG.0040.00.1,COGAMTDFF_A,,Difficulty remembering-how much,Num,226,1
188,1,UPP.0010.00.1,UPPSLFCR_A,,Difficulty with self care,Num,227,1
189,2,UPP.0020.00.1,UPPRAISE_A,,Difficulty raising soda bottle,Num,228,1
190,3,UPP.0030.00.1,UPPOBJCT_A,,Difficulty using hands and fingers,Num,229,1
191,4,Recode,DISAB3_A,"VISIONDF_A;HEARINGDF_A; DIFF_A;COMDIFF_A;UPPSLFCR_A;COGMEMDFF_A","The Washington Group Short Set Composite DisabilityIndicator",Num,230,1
193,1,SOC.0010.00.1,SOCERRNDS_A,,Difficulty doing errands alone,Num,231,1
194,2,SOC.0020.00.1,SOCSCLPAR_A,,Difficulty participating in social activities,Num,232,1
195,3,SOC.0030.00.1,SOCWRKLIM_A,,Work limited due to health problem,Num,233,1
197,1,ADO.0010.00.3,DEVDONSET_A,,Difficulty doing activities before age 22,Num,234,1
199,1,Recode,NOTCOV_A,"MEDICARE_A;MEDICAID_A;PRIVATE_A; CHIP_A;OTHPUB_A; OTHGOV_A;MILITARY_A",Coverage status as used in Health United States,Num,235,1
200,2,Recode,COVER_A,"MEDICARE_A;MEDICAID_A;PRIVATE_A; CHIP_A;OTHPUB_A; OTHGOV_A;MILITARY_A",Health insurance hierarchy under 65,Num,236,1
201,3,Recode,COVER65_A,"MEDICARE_A;MEDICAID_A;PRIVATE_A; CHIP_A;OTHPUB_A; OTHGOV_A;MILITARY_A;MCCHOICE_A; MCHMO_A;MCADVR_A;PLN1PAY4_A;PLN2PAY4_A",Health Insurance hierarchy 65+,Num,237,1
202,4,INS.0050.00.1,SINCOVDE_A,,Single service plan - dental,Num,238,1
203,5,INS.0060.00.1,SINCOVVS_A,,Single service plan - vision,Num,239,1
204,6,INS.0070.00.1,SINCOVRX_A,,Single service plan - prescription,Num,240,1
205,7,Recode,MEDICARE_A,"HIKIND02_A;MCAREPRB_A",Medicare recode,Num,241,1
206,8,INS.0090.00.1,MCPART_A,,Type of Medicare coverage,Num,242,1
207,9,INS.0100.00.1,MCCHOICE_A,,Enrolled in Medicare Advantage Plan,Num,243,1
208,10,INS.0110.00.1,MCHMO_A,,Medicare HMO,Num,244,1
209,11,Recode,MCADVR_A,MCANAME_A,Medicare Advantage Plan,Num,245,1
210,12,INS.0121.00.1,MCDNCOV_A,,Medicare Advantage Plan pays for any dental care costs,Num,246,1
211,13,INS.0122.00.1,MCVSCOV_A,,Medicare Advantage Plan pays for any vision care costs,Num,247,1
212,14,INS.0130.00.1,MCPARTD_A,,Medicare Part D,Num,248,1
213,15,Recode,MEDICAID_A,"HIKIND03_A;MCAIDPRB_A",Medicaid recode,Num,249,1
214,16,INS.0150.00.1,MAXCHNG_A,,Medicaid through Marketplace,Num,250,1
215,17,INS.0160.00.1,MAPREM_A,,Medicaid premium,Num,251,1
216,18,INS.0170.00.1,MADEDUC_A,,Medicaid deductible,Num,252,1
217,19,INS.0180.00.1,MAHDHP_A,,Medicaid HDHP,Num,253,1
218,20,Recode,MAFLG_A,HIPNAM1_A; HIPNAM2_A,Medicaid reassignment flag,Num,254,1
219,21,Recode,PRIVATE_A,"HIKIND01_A;HIKIND03_A",Private health insurance recode,Num,255,1
220,22,Recode,EXCHANGE_A,"HIPNAM1_A;HIPNAM2_A; MACHMN_A;CHNAME_A; OPNAME_A;OGNAME_A","Plan through Health Insurance Exchange, NCHS algorithm",Num,256,1
221,23,INS.0370.01.1,POLHLD1_A,,Policyholder for private plan 1,Num,257,1
222,24,INS.0380.01.1,PRPLCOV1_A,,Plan coverage for others - plan 1,Num,258,1
223,25,INS.0390.01.1,PRPOLH1_A,,Relation to policyholder - plan 1,Num,259,1
224,26,Recode,PRPLCOV1_C_A,"PRPLCOV1_C;PRPLCOV2_C","Response to PRPLCOV1_C or PRPLCOV2_C  from child - plan1",Num,260,1
225,27,Recode,PLNWRKR1_A,"PLNWRK1_A;PLNWKSP1_A",How plan was originally obtained - plan 1,Num,261 - 262,2
226,28,INS.0420.01.1,PLNEXCHG1_A,,Health plan obtained through Marketplace - plan 1,Num,263,1
227,29,INS.0430.11.1,PLN1PAY1_A,,Paid for by self or family - plan 1,Num,264,1
228,30,INS.0430.12.1,PLN1PAY2_A,,Paid for by employer or union - plan 1,Num,265,1
229,31,INS.0430.13.1,PLN1PAY3_A,,Paid for by someone outside the household - plan 1,Num,266,1
230,32,INS.0430.14.1,PLN1PAY4_A,,Paid for by Medicare - plan 1,Num,267,1
231,33,INS.0430.15.1,PLN1PAY5_A,,Paid for by Medicaid - plan 1,Num,268,1
232,34,INS.0430.16.1,PLN1PAY6_A,,Paid for by other government program - plan 1,Num,269,1
233,35,Recode,HICOSTR1_A,"HICOSTN1_A;HICOSTT1_A",Out-of-pocket premium cost - plan 1,Num,270 - 274,5
234,36,INS.0450.01.1,PRDEDUC1_A,,Deductible - plan 1,Num,275,1
235,37,INS.0460.01.1,PRHDHP1_A,,High deductible health plan - plan 1,Num,276,1
236,38,INS.0470.01.1,HSAHRA1_A,,"Health Savings Accounts / Health Reimbursement Accounts- plan 1",Num,277,1
237,39,INS.0480.01.1,PRRXCOV1_A,,Plan pays for prescription drug - plan 1,Num,278,1
238,40,INS.0490.01.1,PRDNCOV1_A,,Plan pays for dental care - plan 1,Num,279,1
239,41,INS.0500.01.1,PRVSCOV1_A,,Plan pays for vision care - plan 1,Num,280,1
240,42,Recode,EXCHPR1_A,HIPNAM1_A,Exchange company coding NCHS - plan 1,Num,281,1
241,43,Recode,PRFLG_A,,Private reassignment flag,Num,282,1
242,44,Recode,PXCHNG1_A,"MAXCHNG_A;CHXCHNG_A;OPXCHNG_A; OGXCHNG_A","Marketplace or state exchange, reassigned from public toprivate",Num,283,1
243,45,Recode,PRPREM1_A,"MAPREM_A; CHPREM_A;OPPREM_A; OGPREM_A",Premium on plan reassigned from public to private,Num,284,1
244,46,Recode,PLEXCHPR1_A,"MACHMN_A; CHNAME_A;OPNAME_A; OGNAME_A","Exchange company coding, NCHS, reassigned from public toprivate",Num,285,1
245,47,INS.0370.02.1,POLHLD2_A,,Policyholder for private plan 2,Num,286,1
246,48,INS.0380.02.1,PRPLCOV2_A,,Plan coverage for others - plan 2,Num,287,1
247,49,INS.0390.02.1,PRPOLH2_A,,Relation to policyholder - plan 2,Num,288,1
248,50,Recode,PRPLCOV2_C_A,"PRPLCOV1_C;PRPLCOV2_C",Response to PRPLCOV1_C or PRPLCOV2_C from child - plan 2,Num,289,1
249,51,Recode,PLNWRKR2_A,"PLNWRK2_A;PLNWKSP2_A",How plan was originally obtained - plan 2,Num,290 - 291,2
250,52,INS.0420.02.1,PLNEXCHG2_A,,Health plan obtained through Marketplace - plan 2,Num,292,1
251,53,INS.0430.21.1,PLN2PAY1_A,,Paid for by self or family - plan 2,Num,293,1
252,54,INS.0430.22.1,PLN2PAY2_A,,Paid for by employer or union - plan 2,Num,294,1
253,55,INS.0430.23.1,PLN2PAY3_A,,Paid for by someone outside the household - plan 2,Num,295,1
254,56,INS.0430.24.1,PLN2PAY4_A,,Paid for by Medicare - plan 2,Num,296,1
255,57,INS.0430.25.1,PLN2PAY5_A,,Paid for by Medicaid - plan 2,Num,297,1
256,58,INS.0430.26.1,PLN2PAY6_A,,Paid for by other government program - plan 2,Num,298,1
257,59,Recode,HICOSTR2_A,"HICOSTN2_A;HICOSTT2_A",Out-of-pocket premium cost - plan 2,Num,299 - 303,5
258,60,INS.0450.02.1,PRDEDUC2_A,,Deductible - plan 2,Num,304,1
259,61,INS.0460.02.1,PRHDHP2_A,,High deductible health plan - plan 2,Num,305,1
260,62,INS.0470.02.1,HSAHRA2_A,,"Health Savings Accounts / Health Reimbursement Accounts- plan 2",Num,306,1
261,63,INS.0480.02.1,PRRXCOV2_A,,Plan pays for prescription drug - plan 2,Num,307,1
262,64,INS.0490.02.1,PRDNCOV2_A,,Plan pays for dental care - plan 2,Num,308,1
263,65,INS.0500.02.1,PRVSCOV2_A,,Plan pays for vision care - plan 2,Num,309,1
264,66,Recode,EXCHPR2_A,HIPNAM2_A,Exchange company coding NCHS - plan 2,Num,310,1
265,67,Recode,CHIP_A,HIKIND05_A,Children's Health Insurance Program (CHIP) recode,Num,311,1
266,68,INS.0520.00.1,CHXCHNG_A,,CHIP through Marketplace,Num,312,1
267,69,INS.0530.00.1,CHPREM_A,,Pay CHIP premium,Num,313,1
268,70,INS.0540.00.1,CHDEDUC_A,,CHIP deductible,Num,314,1
269,71,INS.0550.00.1,CHHDHP_A,,CHIP HDHP,Num,315,1
270,72,Recode,CHFLG_A,,CHIP reassignment flag,Num,316,1
271,73,Recode,OTHPUB_A,HIKIND08_A,State-sponsored health plan recode,Num,317,1
272,74,INS.0570.00.1,OPXCHNG_A,,State-sponsored plan through Marketplace,Num,318,1
273,75,INS.0580.00.1,OPPREM_A,,Pay premium for state-sponsored plan,Num,319,1
274,76,INS.0590.00.1,OPDEDUC_A,,State-sponsored plan deductible,Num,320,1
275,77,INS.0600.00.1,OPHDHP_A,,State-sponsored plan HDHP,Num,321,1
276,78,Recode,PLEXCHOP_A,OPNAME_A,"Exchange company coding, NCHS (state-sponsored plan)",Num,322,1
277,79,Recode,OPFLG_A,,State-sponsored reassignment flag,Num,323,1
278,80,Recode,OTHGOV_A,HIKIND09_A,Other government program recode,Num,324,1
279,81,INS.0620.00.1,OGXCHNG_A,,Other government program through Marketplace,Num,325,1
280,82,INS.0630.00.1,OGPREM_A,,Pay premium for other government program,Num,326,1
281,83,INS.0640.00.1,OGDEDUC_A,,Other government program deductible,Num,327,1
282,84,INS.0650.00.1,OGHDHP_A,,Other government program HDHP,Num,328,1
283,85,Recode,PLEXCHOG_A,OGNAME_A,"Exchange company coding, NCHS (other government program)",Num,329,1
284,86,Recode,OGFLG_A,,Other government reassignment flag,Num,330,1
285,87,Recode,MILITARY_A,"HIKIND06_A;VAHOSP_A; VACAREEV_A",Military health care coverage recode,Num,331,1
286,88,Recode,MILSPC1R_A,"MILSPC1_A; VAHOSP_A;VACAREEV_A",Types of military health care - VA health care,Num,332,1
287,89,INS.0660.02.1,MILSPC2_A,,Types of military health care - TRICARE,Num,333,1
288,90,INS.0660.03.1,MILSPC3_A,,Types of military health care - CHAMP-VA,Num,334,1
