,Variable,Question #,Variable Name,Source Variables,Description,Type,Location,Length,22,21,20,19
110,14,INS.0340.01.1,POLHLD1_C,,Policyholder for private plan 1,Num,143,1,x,x,x,x
111,15,INS.0350.01.1,PRPLCOV1_C,,Plan coverage for others - plan 1,Num,144,1,x,x,x,x
112,16,Recode,PRPLCOV1_A_C,"PRPLCOV1_A;PRPLCOV2_A",Response to PRPLCOV1_A or PRPLCOV2_A from adult - plan 1,Num,145,1,x,x,x,x
113,17,Recode,PLNWRKR1_C,"PLNWRK1_C;PLNWKSP1_C",How plan was originally obtained - plan 1,Num,146 - 147,2,x,x,x,x
114,18,INS.0380.01.1,PLNEXCHG1_C,,Health plan obtained through Marketplace - plan 1,Num,148,1,x,x,x,x
115,19,INS.0390.11.1,PLN1PAY1_C,,Paid for by self or family - plan 1,Num,149,1,x,x,x,x
116,20,INS.0390.12.1,PLN1PAY2_C,,Paid for by employer or union - plan 1,Num,150,1,x,x,x,x
117,21,INS.0390.13.1,PLN1PAY3_C,,Paid for by someone outside the household - plan 1,Num,151,1,x,x,x,x
118,22,INS.0390.15.1,PLN1PAY5_C,,Paid for by Medicaid - plan 1,Num,152,1,x,x,x,x
119,23,Recode,PLN1PAY6R_C,"PLN1PAY4_C;PLN1PAY6_C",Paid for by other government program - plan 1,Num,153,1,x,x,x,x
120,24,Recode,HICOSTR1_C,"HICOSTN1_C;HICOSTT1_C",Out-of-pocket premium cost - plan 1,Num,154 - 158,5,x,x,x,x
121,25,INS.0410.01.1,PRDEDUC1_C,,Deductible - plan 1,Num,159,1,x,x,x,x
122,26,INS.0420.01.1,PRHDHP1_C,,High deductible health plan - plan 1,Num,160,1,x,x,x,x
123,27,INS.0430.01.1,HSAHRA1_C,,"Health Savings Accounts / Health Reimbursement Accounts- plan 1",Num,161,1,x,x,x,x
124,28,INS.0440.01.1,PRRXCOV1_C,,Plan pays for prescription drug - plan 1,Num,162,1,x,x,x,x
125,29,INS.0450.01.1,PRDNCOV1_C,,Plan pays for dental care - plan 1,Num,163,1,x,x,x,x
126,30,INS.0460.01.1,PRVSCOV1_C,,Plan pays for vision care - plan 1,Num,164,1,x,x,x,x
127,31,Recode,EXCHPR1_C,HIPNAM1_C,"Exchange company coding, NCHS - plan 1",Num,165,1,x,x,x,x
128,32,Recode,PRFLG_C,,Private reassignment flag,Num,166,1,x,x,x,x
129,33,Recode,PXCHNG1_C,"MAXCHNG_C;CHXCHNG_C;OPXCHNG_C; OGXCHNG_C","Marketplace or state exchange, reassigned from public toprivate",Num,167,1,x,x,x,x
130,34,Recode,PRPREM1_C,"MAPREM_C; CHPREM_C;OPPREM_C; OGPREM_C",Premium on plan reassigned from public to private,Num,168,1,x,x,x,x
131,35,Recode,PLEXCHPR1_C,"MACHMN_C; CHNAME_C;OPNAME_C; OGNAME_C","Exchange company coding, NCHS, reassigned from public toprivate",Num,169,1,x,x,x,x
132,36,INS.0340.02.1,POLHLD2_C,,Policyholder for private plan 2,Num,170,1,x,x,x,x
133,37,INS.0350.02.1,PRPLCOV2_C,,Plan coverage for others - plan 2,Num,171,1,x,x,x,x
134,38,Recode,PRPLCOV2_A_C,"PRPLCOV1_A;PRPLCOV2_A",Response to PRPLCOV1_A or PRPLCOV2_A from adult - plan 2,Num,172,1,x,x,x,x
135,39,Recode,PLNWRKR2_C,"PLNWRK2_C;PLNWKSP2_C",How plan was originally obtained - plan 2,Num,173 - 174,2,x,x,x,x
136,40,INS.0380.02.1,PLNEXCHG2_C,,Health plan obtained through Marketplace - plan 2,Num,175,1,x,x,x,x
137,41,INS.0390.21.1,PLN2PAY1_C,,Paid for by self or family - plan 2,Num,176,1,x,x,x,x
138,42,INS.0390.22.1,PLN2PAY2_C,,Paid for by employer or union - plan 2,Num,177,1,x,x,x,x
139,43,INS.0390.23.1,PLN2PAY3_C,,Paid for by someone outside the household - plan 2,Num,178,1,x,x,x,x
140,44,INS.0390.25.1,PLN2PAY5_C,,Paid for by Medicaid - plan 2,Num,179,1,x,x,x,x
141,45,Recode,PLN2PAY6R_C,"PLN2PAY4_C;PLN2PAY6_C",Paid for by other government program - plan 2,Num,180,1,x,x,x,x
142,46,Recode,HICOSTR2_C,"HICOSTN2_C;HICOSTT2_C",Out-of-pocket premium cost - plan 2,Num,181 - 185,5,x,x,x,x
143,47,INS.0410.02.1,PRDEDUC2_C,,Deductible - plan 2,Num,186,1,x,x,x,x
144,48,INS.0420.02.1,PRHDHP2_C,,High deductible health plan - plan 2,Num,187,1,x,x,x,x
145,49,INS.0430.02.1,HSAHRA2_C,,"Health Savings Accounts / Health Reimbursement Accounts- plan 2",Num,188,1,x,x,x,x
146,50,INS.0440.02.1,PRRXCOV2_C,,Plan pays for prescription drug - plan 2,Num,189,1,x,x,x,x
147,51,INS.0450.02.1,PRDNCOV2_C,,Plan pays for dental care - plan 2,Num,190,1,x,x,x,x
148,52,INS.0460.02.1,PRVSCOV2_C,,Plan pays for vision care - plan 2,Num,191,1,x,x,x,x
149,53,Recode,EXCHPR2_C,HIPNAM2_C,"Exchange company coding, NCHS - plan 2",Num,192,1,x,x,x,x
150,54,Recode,CHIP_C,HIKIND05_C,Children's Health Insurance Program (CHIP) recode,Num,193,1,x,x,x,x
151,55,INS.0480.00.1,CHXCHNG_C,,CHIP through Marketplace,Num,194,1,x,x,x,x
152,56,INS.0490.00.1,CHPREM_C,,Pay CHIP premium,Num,195,1,x,x,x,x
153,57,INS.0500.00.1,CHDEDUC_C,,CHIP deductible,Num,196,1,x,x,x,x
154,58,INS.0510.00.1,CHHDHP_C,,CHIP HDHP,Num,197,1,x,x,x,x
155,59,Recode,CHFLG_C,,CHIP reassignment flag,Num,198,1,x,x,x,x
156,60,Recode,OTHPUB_C,HIKIND08_C,State-sponsored health plan recode,Num,199,1,x,x,x,x
157,61,INS.0530.00.1,OPXCHNG_C,,State-sponsored plan through Marketplace,Num,200,1,x,x,x,x
158,62,INS.0540.00.1,OPPREM_C,,Pay premium for state-sponsored plan,Num,201,1,x,x,x,x
159,63,INS.0550.00.1,OPDEDUC_C,,State-sponsored plan deductible,Num,202,1,x,x,x,x
160,64,INS.0560.00.1,OPHDHP_C,,State-sponsored plan HDHP,Num,203,1,x,x,x,x
161,65,Recode,PLEXCHOP_C,OPNAME_C,"Exchange company coding, NCHS (state-sponsored plan)",Num,204,1,x,x,x,x
162,66,Recode,OPFLG_C,,State-sponsored reassignment flag,Num,205,1,x,x,x,x
163,67,Recode,OTHGOVR_C,HIKIND09R_C,Other government program public use file recode,Num,206,1,x,x,x,x
164,68,Recode,OGXCHNGR_C,OGXCHNG_C,Other government program through Marketplace,Num,207,1,x,x,x,x
165,69,Recode,OGPREMR_C,OGPREM_C,Pay premium for other government program,Num,208,1,x,x,x,x
166,70,Recode,OGDEDUCR_C,OGDEDUC_C,Other government program deductible,Num,209,1,x,x,x,x
167,71,Recode,OGHDHPR_C,,Other government program HDHP,Num,210,1,x,x,x,x
168,72,Recode,PLEXCHOGR_C,OGNAME_C,"Exchange company coding, NCHS (other government program)",Num,211,1,x,x,x,x
169,73,Recode,OGFLGR_C,,Other government reassignment flag,Num,212,1,x,x,x,
170,74,Recode,MILITARY_C,HIKIND06_C,Military health care coverage recode,Num,213,1,x,x,x,x
171,75,INS.0620.02.1,MILSPC2_C,,Types of military health care - TRICARE,Num,214,1,x,x,x,x
172,76,INS.0620.03.1,MILSPC3_C,,Types of military health care - CHAMP-VA,Num,215,1,x,x,x,x
173,77,Recode,IHS_C,HIKIND07_C,Indian Health Service recode,Num,216,1,x,x,x,x
174,78,INS.0630.00.1,HILAST_C,,How long since last health coverage,Num,217,1,x,x,x,x
175,79,INS.0640.00.1,HILASTMY_C,,Number of months without coverage,Num,218 - 219,2,x,x,x,x
176,80,INS.0650.00.1,HISTOPJOB_C,,Lost job or changed employers,Num,220,1,x,x,x,x
177,81,INS.0660.00.1,HISTOPMISS_C,,Missed deadline,Num,221,1,x,x,x,x
178,82,INS.0670.00.1,HISTOPAGE_C,,Ineligible because of age/left school,Num,222,1,x,x,x,x
179,83,INS.0680.00.1,HISTOPCOST_C,,Cost increase,Num,223,1,x,x,x,x
180,84,INS.0690.00.1,HISTOPELIG_C,,"Not eligible for Medicaid, CHIP, or other publiccoverage",Num,224,1,x,x,x,x
181,85,INS.0700.00.1,RSNHICOST_C,,Not affordable,Num,225,1,x,x,x,x
182,86,INS.0710.00.1,RSNHIWANT_C,,Do not need or want coverage,Num,226,1,x,x,x,x
183,87,INS.0720.00.1,RSNHIELIG_C,,Not eligible for coverage,Num,227,1,x,x,x,x
184,88,INS.0730.00.1,RSNHICONF_C,,Signing up too difficult or confusing,Num,228,1,x,x,x,x
185,89,INS.0740.00.1,RSNHIMEET_C,,Cannot find a plan that meets the needs,Num,229,1,x,x,x,x
186,90,INS.0750.00.1,RSNHIWAIT_C,,Coverage has not started yet,Num,230,1,x,x,x,x
187,91,INS.0760.00.1,RSNHIOTH_C,,Another reason,Num,231,1,x,x,x,x
188,92,Recode,RSNHIJOB_C,RSNHIOTHSP_C,Lost job,Num,232,1,x,x,x,x
189,93,Recode,RSNHIMISS_C,RSNHIOTHSP_C,Missed deadline,Num,233,1,x,x,x,x
190,94,INS.0780.00.1,HINOTYR_C,,No health coverage during past 12 months,Num,234,1,x,x,x,x
191,95,INS.0790.00.1,HINOTMYR_C,,Months without coverage in past 12 months,Num,235 - 236,2,x,x,x,x
192,96,INS.0010.00.1,HICOV_C,,Have health insurance,Num,237,1,x,x,x,x
193,97,Recode,HIKIND01R_C,"HIKIND01_C;HIKIND03_C","Kind(s) of health insurance - private health insurancepublic use file",Num,238,1,x,x,,
194,98,INS.0020.04.1,HIKIND04_C,,Kind(s) of health insurance - Medicaid,Num,239,1,x,x,x,x
195,99,INS.0020.05.1,HIKIND05_C,,Kind(s) of health insurance - CHIP,Num,240,1,x,x,x,x
196,100,INS.0020.06.1,HIKIND06_C,,"Kind(s) of health insurance - military related healthcare",Num,241,1,x,x,x,x
197,101,INS.0020.07.1,HIKIND07_C,,Kind(s) of health insurance - Indian Health Service,Num,242,1,x,x,x,x
198,102,INS.0020.08.1,HIKIND08_C,,"Kind(s) of health insurance - State-sponsored healthplan",Num,243,1,x,x,x,x
199,103,Recode,HIKIND09R_C,"HIKIND02_C;HIKIND09_C","Kind(s) of health insurance - Other government programpublic use file",Num,244,1,x,x,x,x
200,104,INS.0020.10.1,HIKIND10_C,,Kind(s) of health insurance - No coverage of any type,Num,245,1,x,x,x,x
201,105,INS.0030.00.1,MCAIDPRB_C,,Medicaid coverage probe,Num,246,1,x,x,x,x
202,1,PAY.0020.00.1,PAYBLL12M_C,,"Problems paying medical bills, past 12m",Num,247,1,x,x,x,x
203,2,PAY.0030.00.1,PAYNOBLLNW_C,,Unable to pay medical bills,Num,248,1,x,x,x,x
204,3,PAY.0040.00.1,PAYWORRY_C,,"Get sick or have accident, worry about paying medicalbills",Num,249,1,x,x,x,x
205,1,CVL.0020.00.4,CVDDIAG_C,,Ever had COVID-19,Num,250,1,x,x,x,
206,2,CVL.0030.00.4,POSTEST_C,,Ever had positive COVID-19 test,Num,251,1,x,,,
207,3,CVL.0040.00.4,CVDSEV_C,,Symptoms of COVID-19,Num,252,1,x,x,x,
208,4,CVL.0050.00.4,LONGCVD_C,,Had COVID-19 symptoms for 3 or more months,Num,253,1,x,,,
209,5,CVL.0060.00.4,SYMPNOW_C,,Currently has COVID-19 symptoms,Num,254,1,x,,,
210,1,DNC.0020.00.2,DENPREV_C,,Time since last dental exam/cleaning,Num,255,1,x,,x,x
211,2,DNC.0030.00.2,DENDL12M_C,,"Delayed dental care due to cost, past 12m",Num,256,1,x,,x,x
212,3,DNC.0040.00.2,DENNG12M_C,,"Needed dental care but did not get it due to cost, past12m",Num,257,1,x,,x,x
213,1,UTZ.0020.00.1,LASTDR_C,,Time since last saw doctor,Num,258,1,x,x,x,x
214,2,UTZ.0030.00.4,TIMEALONE_C,,Time alone at most recent visit,Num,259,1,x,x,,
215,3,UTZ.0040.00.1,WELLNESS_C,,Was last visit a wellness visit,Num,260,1,x,x,x,x
216,4,UTZ.0050.00.1,WELLVIS_C,,Time since last wellness visit,Num,261,1,x,x,x,x
217,5,UTZ.0060.00.4,PTIMEALONE_C,,Time alone at most recent wellness visit,Num,262,1,x,x,,
218,6,UTZ.0080.00.1,USUALPL_C,,Have a usual place for care,Num,263,1,x,x,x,x
219,7,UTZ.0090.00.1,USPLKIND_C,,Type of place for usual care,Num,264,1,x,x,x,x
220,8,UTZ.0100.00.4,PERSDOC_C,,Has personal doctor,Num,265,1,x,x,,
221,9,Recode,URGNT12MTC_C,URGENT12M_C,"Number of times visited urgent care, past 12m, top-coded",Num,266,1,x,x,x,x
222,10,Recode,EMERG12MTC_C,EMERGE12M_C,"Number of times visited hospital emergency room, past12m, top-coded",Num,267,1,x,x,x,x
223,11,UTZ.0130.00.1,HOSPONGT_C,,"Hospitalized overnight, past 12m",Num,268,1,x,x,x,x
224,12,UTZ.0140.00.1,MEDDL12M_C,,"Delayed medical care due to cost, past 12m",Num,269,1,x,x,x,x
225,13,UTZ.0150.00.1,MEDNG12M_C,,"Needed medical care but did not get it due to cost, past12m",Num,270,1,x,x,x,x
226,1,TLH.0010.00.4,VIRAPP12M_C,,"Virtual medical appointment, past 12m",Num,271,1,x,x,x,
227,1,PMD.0010.00.1,RX12M_C,,"Took prescription medication, past 12m",Num,272,1,x,x,x,x
228,2,PMD.0020.00.1,RXDL12M_C,,"Delayed filling prescription to save money, past 12m",Num,273,1,x,x,x,x
229,3,PMD.0030.00.1,RXDG12M_C,,"Needed prescription medication but did not get it due tocost, past 12m",Num,274,1,x,x,x,x
230,1,IMM.0010.00.1,SHTFLU12M_C,,"Flu vaccine, past 12 months",Num,275,1,x,x,x,x
231,2,IMM.0020.00.1,SHTFLUNUM_C,,"Number of flu vaccines, past 12 months",Num,276,1,x,x,x,x
232,3,IMM.0030.01.1,FLUVAC1M_C,,Month of most recent flu vaccine,Num,277 - 278,2,x,x,x,x
233,4,IMM.0030.02.1,FLUVAC1Y_C,,Year of most recent flu vaccine,Num,279 - 282,4,x,x,x,x
234,5,IMM.0040.01.1,FLUVAC2M_C,,Month of next most recent flu vaccine,Num,283 - 284,2,x,x,x,x
235,6,IMM.0040.02.1,FLUVAC2Y_C,,Year of next most recent flu vaccine,Num,285 - 288,4,x,x,x,x
236,1,CVV.0010.00.3,SHTCVD191_C,,COVID-19 vaccination,Num,289,1,x,,,
237,2,CVV.0020.00.3,SHTCVD19NM_C,,Number of COVID-19 vaccinations,Num,290,1,x,x,,
238,3,CVV.0030.01.3,CVDVAC1M_C,,Month of most recent COVID-19 vaccination,Num,291 - 292,2,x,,,
239,4,CVV.0030.02.3,CVDVAC1Y_C,,Year of most recent COVID-19 vaccination,Num,293 - 296,4,x,,,
240,5,CVV.0040.01.3,CVDVAC2M_C,,Month of next most recent COVID-19 vaccination,Num,297 - 298,2,x,,,
241,6,CVV.0040.02.3,CVDVAC2Y_C,,Year of next most recent COVID-19 vaccination,Num,299 - 302,4,x,,,
